SENDIST,WhiteEmploy,BlackEmploy,Native AmericanEmploy,AsianEmploy,LatinoEmploy,WhiteDisability,BlackDisability,Native AmericanDisability,AsianDisability,LatinoDisability,FemHHPov,TotalIncomeBuyingPower,MNTaxes
58,3.6,7.9,38.1,2.6,3.4,13.1,18,25.4,8.4,9.4,30.00%,144000000,16624725
59,6,21.6,17.5,10.1,13.6,9.7,11.6,21.7,7.5,8.4,83.00%,914000000,105167085
60,6.5,14.7,11.4,7.9,4.7,6.8,16.5,14.8,5.8,4,78.00%,528000000,60831731
61,4,"18,1",8.9,4.5,5.3,11.2,19.4,21.6,7.2,7.5,54.00%,236000000,27161091
62,5.5,18.7,21.6,10,8.8,10.2,18.2,24.4,10.3,7,88.00%,818000000,94052091
63,4,8.6,15.1,5.9,9.5,8.9,10.1,11.5,4.9,4.4,74.00%,374000000,43052692
64,4,11.2,2.9,10.2,10,13.8,17.3,13.6,13.6,11.6,47.00%,291000000,33552977
65,5.6,20.2,13,14.1,13.2,16.4,16.4,18.7,9.4,8.4,82.00%,830000000,95414582
66,5,16.9,14.4,9.4,13.8,12.3,10.5,19.8,3.3,16.8,71.00%,619000000,71194980
67,7.3,19.4,34.4,8.7,11.7,11.2,11.7,13.4,10.5,5.9,75.00%,1000000000,115216127
